company,model,engine,cc,hp,max_speed,0_100_sec,price,fuel_type,seats,torque
volkswagen,Polo BlueMotion,1.2L Diesel I3,1199.0,95.0,190,10.5,114400.0,Diesel,5,250.0
volkswagen,Golf Sportsvan,1.5L Turbo I4,1498.0,150.0,210,8.9,156000.0,Petrol,5,250.0
volkswagen,Golf Alltrack,2.0L Turbo Diesel I4,1968.0,200.0,210,7.1,182000.0,Petrol,5,350.0
volkswagen,Scirocco R,2.0L Turbo I4,1984.0,280.0,250,5.5,208000.0,Petrol,4,350.0
volkswagen,Tiguan Allspace,2.0L Turbo I4,1984.0,230.0,215,7.6,182000.0,Petrol,7,320.0
volkswagen,Arteon 4MOTION,2.0L Turbo I4,1984.0,320.0,250,5.6,249600.0,Petrol,5,350.0
volkswagen,Golf Variant,1.5L Turbo I4 / 2.0L Diesel I4,1498.0,150.0,220,7.5,166400.0,Petrol,5,320.0
volkswagen,Crafter,2.0L Turbo Diesel I4,1968.0,177.0,160,13.0,208000.0,Diesel,3,410.0
volkswagen,Lupo,1.4L I3 Gas / 1.2L Diesel I3,1390.0,75.0,170,14.3,78000.0,Petrol,4,120.0
volkswagen,Corrado,2.9L VR6,2861.0,190.0,235,6.4,130000.0,Petrol,4,245.0
volkswagen,Phaeton,3.0L V6 Diesel / 6.0L W12 Gas,2967.0,450.0,250,6.1,442000.0,Petrol,5,560.0
volkswagen,Golf Cabriolet,1.2L I4 Turbo / 2.0L I4 Turbo,1197.0,210.0,217,8.4,156000.0,Petrol,4,200.0
volkswagen,Santana,1.5L I4 Gas,1498.0,110.0,190,12.9,78000.0,Petrol,5,145.0
volkswagen,Polo Vivo,1.4L I4 Gas / 1.6L I4 Gas,1390.0,105.0,170,10.8,72800.0,Petrol,5,132.0
volkswagen,Karmann Ghia,1.2L I4 Gas,1192.0,60.0,138,23.0,130000.0,Petrol,2,106.0
volkswagen,Fox,1.2L I4 Gas / 1.4L I4 Gas,1198.0,75.0,148,17.5,62400.0,Petrol,5,93.0
volkswagen,Vento,1.6L I4 Gas / Diesel,1598.0,110.0,186,11.7,93600.0,Petrol,5,153.0
volkswagen,Bora,1.6L I4 Gas / 1.9L I4 Diesel,1598.0,150.0,200,9.4,104000.0,Petrol,5,220.0
volkswagen,Teramont,2.0L I4 Turbo / 3.6L V6 Gas,1984.0,276.0,190,8.6,166400.0,Petrol,7,350.0
volkswagen,Taos,1.5L I4 Turbo,1498.0,158.0,193,8.4,124800.0,Petrol,5,250.0
volkswagen,Up! Cabriolet,1.0L I3 Turbo,999.0,115.0,160,12.4,93600.0,Petrol,4,95.0
volkswagen,T-Roc Cabriolet,1.0L I3 Turbo / 1.5L I4 Turbo,999.0,150.0,205,9.6,182000.0,Petrol,4,250.0
volkswagen,Passat CC,2.0L I4 Turbo,1984.0,280.0,240,7.3,208000.0,Petrol,5,280.0
volkswagen,Transporter,2.0L I4 Turbo Diesel,1968.0,204.0,180,12.2,182000.0,Diesel,9,340.0
volkswagen,Amarok V6,3.0L V6 Turbo Diesel,2967.0,258.0,191,7.9,234000.0,Diesel,5,580.0
volkswagen,Polo TDI,1.4L I4 Diesel / 1.6L Diesel,1390.0,105.0,190,9.9,104000.0,Diesel,5,250.0
volkswagen,Touareg V8,4.0L V8 Turbo Diesel,3956.0,421.0,250,4.9,364000.0,Petrol,5,770.0
volkswagen,Beetle Dune,1.4L I4 Turbo,1395.0,150.0,200,7.5,156000.0,Petrol,4,250.0
volkswagen,Passat B8,1.5L I4 Turbo / 2.0L Diesel,1498.0,280.0,210,8.7,145600.0,Petrol,5,250.0
volkswagen,Golf Cabriolet,1.2L I4 Turbo / 2.0L I4 Turbo,1197.0,210.0,217,8.4,156000.0,Petrol,4,200.0
volkswagen,Golf Country,1.8L I4 Gas,1781.0,98.0,165,12.0,130000.0,Petrol,5,170.0
volkswagen,Jetta GLI,2.0L I4 Turbo,1984.0,228.0,250,6.5,161200.0,Petrol,5,350.0
volkswagen,Arteon Shooting Brake,2.0L I4 Turbo,1984.0,320.0,250,5.6,260000.0,Petrol,5,420.0
volkswagen,T-Cross R-Line,1.0L I3 Turbo / 1.5L I4 Turbo,999.0,150.0,200,8.5,140400.0,Petrol,5,250.0
volkswagen,Golf R32,3.2L VR6,3189.0,240.0,250,6.2,208000.0,Petrol,5,320.0
volkswagen,Passat B7,1.6L Diesel / 2.0L I4 Turbo,1598.0,240.0,220,8.5,135200.0,Petrol,5,280.0
volkswagen,Scirocco 16V,1.8L I4 Gas,1781.0,137.0,220,7.1,182000.0,Petrol,4,230.0
volkswagen,Polo BlueMotion,1.2L Diesel I3,1199.0,95.0,190,10.5,104000.0,Diesel,5,210.0
volkswagen,Golf Variant GTD,2.0L Diesel I4,1968.0,184.0,230,7.5,197600.0,Diesel,5,380.0
volkswagen,Polo GTI R5,1.6L Turbocharged Rally Engine,1598.0,272.0,200,4.1,234000.0,Petrol,5,400.0
volkswagen,Golf Variant Alltrack,2.0L Diesel I4,1968.0,200.0,220,7.8,182000.0,Petrol,5,320.0
volkswagen,Golf TDI,2.0L Diesel I4,1968.0,184.0,220,8.0,145600.0,Diesel,5,350.0
volkswagen,Passat Variant,1.5L I4 Turbo / 2.0L Diesel,1498.0,240.0,220,8.5,156000.0,Petrol,5,280.0
volkswagen,Polo GTI Clubsport,2.0L I4 Turbo,1984.0,300.0,240,6.7,156000.0,Petrol,5,320.0
volkswagen,Arteon R-Line,2.0L I4 Turbo,1984.0,280.0,250,5.6,260000.0,Petrol,5,420.0
